track_id,title,artist_name,album_name,genre,duration_ms,popularity,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,mode,key,time_signature,mood_bucket,main_genre,danceability_label,energy_label,mood_label,tempo_label,acoustic_label,loudness_label,mode_label
6PL07DkNaAqFPbJBbIX1ZY,Bonnie & Clyde,Vance Joy,Feeling Good - Adult Pop Favorites,rock,194080,0,0.714,0.611,0.412,117.872,0.891,0.011,0.0969,0.0367,-5.448,1,0,4,focus,rock,high,medium,neutral,medium,acoustic,loud,major (bright)
2VAP6MX4qujgqVSmU6Mrw1,Remind Me,Bastille,Arbeitsmusik Herbst/Winter 2022/2023,rock,182681,0,0.744,0.744,0.662,104.007,0.247,0.0,0.116,0.142,-4.334,1,7,4,happy,rock,high,energetic,happy,medium,electronic,loud,major (bright)
3ph79KYuJ2bndNPA2c1tRH,I Love My Country,Florida Georgia Line,Country USA,rock,185466,0,0.525,0.94,0.636,140.093,0.0283,0.0,0.236,0.065,-3.546,1,4,4,happy,rock,medium,energetic,neutral,fast,electronic,loud,major (bright)
2wSZhX2Yvslh1oZFFjj45p,Sun Daze,Florida Georgia Line,Tailgate Country,rock,185400,0,0.484,0.944,0.839,170.064,0.0901,0.0,0.471,0.0413,-3.652,1,4,4,happy,rock,medium,energetic,happy,fast,electronic,loud,major (bright)
0R4bRdUVqTtsBARKkyxizh,Wonderful Christmastime,The Ready Set,Christmas Time,punk,244426,0,0.589,0.492,0.526,96.016,0.163,0.0,0.0786,0.0258,-6.404,1,11,4,focus,rock,medium,medium,neutral,medium,electronic,normal,major (bright)
28IxIUK089R7nH1MmxGtBe,I Don't Wanna Spend Another Christmas Without You,The Ready Set,Rock n Roll Christmas,punk,199813,0,0.676,0.699,0.79,134.966,0.139,0.0,0.147,0.0375,-5.984,1,9,4,happy,rock,medium,medium,happy,fast,electronic,loud,major (bright)
5fETpZNwhxJBl1tKooCzvl,Year 3000,Busted,De ese gran pop de los 00's,punk,196200,0,0.595,0.85,0.894,107.025,0.000213,0.0,0.0961,0.0367,-6.647,1,11,4,happy,rock,medium,energetic,happy,medium,electronic,normal,major (bright)
4p25wyCj4N2t4zNAC5UPrI,Corps Of Corpses,Hawthorne Heights,Halloween Party 2022,punk,192173,0,0.399,0.913,0.225,146.959,0.00762,0.0,0.0491,0.227,-4.765,1,9,4,hype,rock,low,energetic,sad,fast,electronic,loud,major (bright)
4lOw9U5IDaRHOYM9p1TGxv,I Had A Heart,Real Friends,Emo Christmas 2022,punk,157746,0,0.608,0.851,0.409,129.997,0.0191,0.0,0.12,0.0282,-6.181,1,1,4,hype,rock,medium,energetic,neutral,fast,electronic,normal,major (bright)
6vmVxm1RRAKfc7MPVUWy3z,Baby It's Cold Outside,"Nathaniel Rateliff & The Night Sweats, Julie Davis",Alternative Christmas 2022,r-n-b,196649,0,0.569,0.419,0.45,97.918,0.831,0.0,0.108,0.0318,-9.725,1,0,4,chill,hip-hop,medium,medium,neutral,medium,acoustic,normal,major (bright)
4RaRa1BcDpF3THZhcgOPDS,Lo Más Interesante,El Bebeto,Para entrar en calor,r-n-b,226360,0,0.715,0.601,0.796,134.929,0.538,5.01e-06,0.167,0.0327,-3.413,1,3,4,happy,hip-hop,high,medium,happy,fast,mixed,loud,major (bright)
7hiUBUSyIepRGWQbYrMvzw,Face Down In The Moment,Nathaniel Rateliff & The Night Sweats,Mega Hits Autumn/Fall 2022,r-n-b,279186,0,0.52,0.591,0.359,151.089,0.353,0.00412,0.102,0.0301,-3.225,1,6,4,focus,hip-hop,medium,medium,neutral,fast,mixed,loud,major (bright)
4pEYt2rphby3dY8a4SLSzr,Millonario De Amor,"Sergio Vega ""El Shaka""",Carrete familiar,r-n-b,221986,0,0.633,0.575,0.902,154.14,0.431,0.0,0.316,0.0357,-2.358,0,7,3,focus,hip-hop,medium,medium,happy,fast,mixed,loud,minor (moody)
3yTfCvdiC3N71rUTDMMMZx,Aunque Te Duela,Fidel Rueda,Carrete familiar,r-n-b,199040,0,0.816,0.645,0.74,94.965,0.517,0.0,0.0724,0.0402,-5.435,1,5,4,happy,hip-hop,high,medium,happy,medium,mixed,loud,major (bright)
